date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-10-05 23:45:00,JoeBiden,,821,1804,6834,"Obamacare was, and is, a big deal. It covered 20 million additional Americans, protects over 100 million with pre-existing conditions, and has saved lives. We can’t afford to tear it down and start over. As president, I will protect and build on it.https://www.washingtonpost.com/health/i-would-be-dead-or-i-would-be-financially-ruined/2019/09/29/e697149c-c80e-11e9-be05-f76ac4ec618c_story.html …",,,,1180629993774338052,https://twitter.com/JoeBiden/status/1180629993774338052
2019-10-05 22:34:00,JoeBiden,,12026,8707,46832,"President Trump is spending millions of dollars attacking me because he's scared I'll beat him. But I’m not going anywhere. I won’t let Donald Trump choose the Democratic nominee.pic.twitter.com/k2YNjnlfEU",,,,1180612126131527680,https://twitter.com/JoeBiden/status/1180612126131527680
2019-10-05 21:00:00,JoeBiden,,2477,6714,35665,"Donald Trump is the most corrupt president in modern history.pic.twitter.com/EjfAKdivy7",,,,1180588471091695616,https://twitter.com/JoeBiden/status/1180588471091695616
2019-10-05 19:50:00,JoeBiden,,2003,1312,8291,"If there are any angels in heaven, they are all male and female nurses.pic.twitter.com/ImQGL8r04B",,,,1180570854251548672,https://twitter.com/JoeBiden/status/1180570854251548672
2019-10-05 18:24:03,JoeBiden,realDonaldTrump,1025,2026,9838,"We have a president who believes he is above the law and that there is no limit to his power. He is wrong. We cannot let him get away with this. Chip in to help us beat him like a drum: https://joe.link/2VkDcxo https://twitter.com/realDonaldTrump/status/1179925259417468928 …",,,,1180549224485838848,https://twitter.com/JoeBiden/status/1180549224485838848
2019-10-05 16:25:00,JoeBiden,,20372,23985,156867,"Donald Trump is the definition of corruption.",,,,1180519264257753088,https://twitter.com/JoeBiden/status/1180519264257753088
2019-10-05 15:35:00,JoeBiden,,496,1210,6348,"Roe v. Wade is the law of the land, and we must fight any and all attempts to overturn it. As president, I will codify Roe into law and ensure this choice remains between a woman and her doctor.https://www.washingtonpost.com/politics/courts_law/supreme-court-to-review-ruling-on-louisiana-abortion-law/2019/10/04/85eaf2b0-e6ab-11e9-a6e8-8759c5c7f608_story.html …",,,,1180506681459040256,https://twitter.com/JoeBiden/status/1180506681459040256
2019-10-05 00:10:00,JoeBiden,,866,1039,5180,"Health care is personal to me like it is for so many Americans. I promise you, as president, I will protect your family's health care as I would my own.pic.twitter.com/BTS5MW1J7J",,,,1180273897301655552,https://twitter.com/JoeBiden/status/1180273897301655552
2019-10-04 21:25:00,JoeBiden,,928,5499,20262,"It has been 219 days since the House passed the bipartisan universal background check bill. Every day since, @senatemajldr McConnell has refused to bring it up for a vote. Enough. How many more Americans must die for Senate Republicans to stand up to the @NRA and take action?",,@senatemajldr @NRA,,1180232373880922120,https://twitter.com/JoeBiden/status/1180232373880922120
2019-10-04 20:02:59,JoeBiden,SEIU,166,183,730,"Looking forward to joining @SEIU at the #UnionsForAll Summit this afternoon to talk about my plans to protect and strengthen America’s unions and rebuild the middle class. Tune in:https://twitter.com/SEIU/status/1180210043788001280 …",,@SEIU,#UnionsForAll,1180211734818279427,https://twitter.com/JoeBiden/status/1180211734818279427
